primerid,logFC,pvalue,padj,regulation
LEAP2,,0.134779457035442,0.425680868162429,stable
LEPR,,0.069951397504218,0.300101205588764,stable
LEPREL1-AS1,,0.0265412973762724,0.169509309889004,stable
LHFPL2,,0.146998502509712,0.444669560672783,stable
LIF,,0.233630354777118,0.55698924204676,stable
LIME1,,0.0807487980595223,0.326089629164057,stable
LINC00240,,0.0500929280211482,0.246189211539701,stable
LINC00365,,0.156309453161149,0.458978322229614,stable
LINC00482,,0.198078485837528,0.515305521134369,stable
LINC00562,,0.235825721522666,0.559065925017214,stable
LINC00571,,0.265159450318108,0.590294868091158,stable
LINC00607,,0.0303129010313038,0.183538519872474,stable
LINC00886,,0.0647877902658991,0.286840256505017,stable
LINC00936,,0.00759471201567517,0.0754135175529823,stable
LINC01024,,0.223411951468446,0.544021453137506,stable
LINC02334,,0.0219831374490584,0.152078026133158,stable
LINC02980,,0.035585032945965,0.203172089085229,stable
LINC02986,,0.46291492375225,0.764169078723499,stable
LINC03011,,0.0749305705405147,0.311866290189735,stable
LIPT1,,0.0715890309387918,0.304490018857269,stable
LL0XNC01-237H1.2,,0.143643747719304,0.438755915072657,stable
LMCD1-AS1,,0.21559141813214,0.535213138758585,stable
LMOD3,,0.0875889581713548,0.339597110389942,stable
LNC-LBCS,,0.0492520316896236,0.244060881238689,stable
LOH12CR2,,0.129435681268227,0.417796350661471,stable
LOXL1-AS1,,0.153356807206662,0.454456633041027,stable
LPPR5,,0.00946850882693333,0.08781718657089,stable
LRP2BP,,0.00677292152114559,0.0695148553102298,stable
LRRC37A2,,0.0469937604854688,0.237725353034286,stable
LRRC37A3,,0.135555100020134,0.426958398002092,stable
LRRC56,,0.0474940181268637,0.239523084211441,stable
LRTM1,,0.224195489513423,0.544952408791427,stable
LTB4R,,0.0361587615945541,0.205629780338188,stable
MACROH2A2,,0.0334901646904031,0.195409915596891,stable
MADCAM1,,0.0630679080207885,0.282594166860318,stable
MAP3K4-AS1,,0.0442691661254233,0.231853593280709,stable
MAPK8IP2,,0.262105438218304,0.587346402548089,stable
MARCKSL1,,0.181601515263262,0.494409114159936,stable
MASTL,,0.0136977966505823,0.110888653150144,stable
MATN2,,0.297483453945254,0.62498416349927,stable
